zona,secao,melhor_urbano,melhor_rural,tse_recente,tse_distribuido,escolas_inep,escolas_municipais,ibge_cnefe_endereco,ibge_cnefe_local,google,google_relaxado,google_centro_geometrico,ibge_povoados,ano
152,482,POINT(-43.38458 -21.78132),POINT(-43.38458 -21.78132), , ,POINT(-43.38458 -21.78132), , , , , , , ,2020
152,483,POINT(-43.38458 -21.78132),POINT(-43.38458 -21.78132), , ,POINT(-43.38458 -21.78132), , , , , , , ,2020
152,49,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
152,491,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,492,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , ,POINT(-43.382065 -21.7579041), , , , , , , ,2020
152,5,POINT(-43.3469284 -21.7632559),POINT(-43.3469284 -21.7632559), , , , , , ,POINT(-43.3469284 -21.7632559), , , ,2020
152,50, , , , , , , , , , , , ,2020
152,51,POINT(-43.3525 -21.76505),POINT(-43.3525 -21.76505), , ,POINT(-43.3525 -21.76505), , , , , , , ,2020
152,519,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,52,POINT(-43.3525 -21.76505),POINT(-43.3525 -21.76505), , ,POINT(-43.3525 -21.76505), , , , , , , ,2020
152,520,POINT(-43.3895335 -21.7899894),POINT(-43.3895335 -21.7899894), , ,POINT(-43.3895335 -21.7899894), , , , , , , ,2020
