zona,secao,melhor_urbano,melhor_rural,tse_distribuido,google
152,395,POINT(-43.350267 -21.760333),POINT(-43.350267 -21.760333), ,POINT(-43.350267 -21.760333)
152,396,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), ,POINT(-43.3534328 -21.7606026)
152,397,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), ,POINT(-43.3534328 -21.7606026)
152,398,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), ,POINT(-43.3534328 -21.7606026)
152,399,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), ,POINT(-43.3534328 -21.7606026)
152,4,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,40,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,400,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), ,POINT(-43.3534328 -21.7606026)
152,401,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), ,POINT(-43.3534328 -21.7606026)
152,402,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), ,POINT(-43.3534328 -21.7606026)
152,403,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), ,POINT(-43.3534328 -21.7606026)
152,404,POINT(-43.3534328 -21.7606026),POINT(-43.3534328 -21.7606026), ,POINT(-43.3534328 -21.7606026)
152,405,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , 
152,406,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , 
152,407,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , 
152,408,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , 
152,409,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , 
152,41,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,410,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , 
152,411,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , 
152,412,POINT(-43.3543176 -21.7564042),POINT(-43.3543176 -21.7564042), , 
152,42,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,423,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), ,POINT(-43.3472969 -21.7590752)
152,424,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), ,POINT(-43.3472969 -21.7590752)
152,425,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), ,POINT(-43.3472969 -21.7590752)
152,426,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), ,POINT(-43.3472969 -21.7590752)
152,427,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), ,POINT(-43.3472969 -21.7590752)
152,428,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), ,POINT(-43.3472969 -21.7590752)
152,429,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), ,POINT(-43.3472969 -21.7590752)
152,43,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,430,POINT(-43.3472969 -21.7590752),POINT(-43.3472969 -21.7590752), ,POINT(-43.3472969 -21.7590752)
152,437,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,438,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,439,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,44,POINT(-43.352498 -21.7621496),POINT(-43.352498 -21.7621496), ,POINT(-43.352498 -21.7621496)
152,440,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,441,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,442,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,443,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
152,444,POINT(-43.382065 -21.7579041),POINT(-43.382065 -21.7579041), , 
